,2018rank,City,State,2018estimate,2010Census,Change,2016_land_area_1(sq mi),2016_land_area_2(km2),2016_population_density_1(/sq mi),2016_population_density_2(/km2),Location,Location_II,Location_III,Location_lat,Location_log
1,1,New York City,New York,8398748,8175133,+2.74,301.5,780.9,28317,10933,40°39′49″N 73°56′19″W,40.6635°N 73.9387°W,40.6635  -73.9387﻿ ,40.6635,-73.9387
2,2,Los Angele,California,3990456,3792621,+5.22,468.7,1213.9,8484,3276,34°01′10″N 118°24′39″W,34.0194°N 118.4108°W,34.0194  -118.4108﻿ ,34.0194,-118.4108
3,3,Chicago,Illino,2705994,2695598,+0.39,227.3,588.7,11900,4600,41°50′15″N 87°40′54″W,41.8376°N 87.6818°W,41.8376  -87.6818﻿ ,41.8376,-87.6818
4,4,Houston,Texa,2325502,2100263,+10.72,637.5,1651.1,3613,1395,29°47′12″N 95°23′27″W,29.7866°N 95.3909°W,29.7866  -95.3909﻿ ,29.7866,-95.3909
5,5,Phoenix,Arizona,1660272,1445632,+14.85,517.6,1340.6,3120,1200,33°34′20″N 112°05′24″W,33.5722°N 112.0901°W,33.5722  -112.0901﻿ ,33.5722,-112.0901
6,6,Philadelphia,Pennsylvania,1584138,1526006,+3.81,134.2,347.6,11683,4511,40°00′34″N 75°08′00″W,40.0094°N 75.1333°W,40.0094  -75.1333﻿ ,40.0094,-75.1333
7,7,San Antonio,Texa,1532233,1327407,+15.43,461.0,1194.0,3238,1250,29°28′21″N 98°31′30″W,29.4724°N 98.5251°W,29.4724  -98.5251﻿ ,29.4724,-98.5251
8,8,San Diego,California,1425976,1307402,+9.07,325.2,842.3,4325,1670,32°48′55″N 117°08′06″W,32.8153°N 117.1350°W,32.8153  -117.1350﻿ ,32.8153,-117.135
9,9,Dalla,Texa,1345047,1197816,+12.29,340.9,882.9,3866,1493,32°47′36″N 96°45′59″W,32.7933°N 96.7665°W,32.7933  -96.7665﻿ ,32.7933,-96.7665
10,10,San Jose,California,1030119,945942,+8.90,177.5,459.7,5777,2231,37°17′48″N 121°49′08″W,37.2967°N 121.8189°W,37.2967  -121.8189﻿ ,37.2967,-121.8189
11,11,Austin,Texa,964254,790390,+22.00,312.7,809.9,3031,1170,30°18′14″N 97°45′16″W,30.3039°N 97.7544°W,30.3039  -97.7544﻿ ,30.3039,-97.7544
12,12,Jacksonville,Florida,903889,821784,+9.99,747.4,1935.8,1178,455,30°20′13″N 81°39′42″W,30.3369°N 81.6616°W,30.3369  -81.6616﻿ ,30.3369,-81.6616
13,13,Fort Worth,Texa,895008,741206,+20.75,342.9,888.1,2491,962,32°46′53″N 97°20′48″W,32.7815°N 97.3467°W,32.7815  -97.3467﻿ ,32.7815,-97.3467
14,14,Columbu,Ohio,892533,787033,+13.40,218.5,565.9,3936,1520,39°59′07″N 82°59′05″W,39.9852°N 82.9848°W,39.9852  -82.9848﻿ ,39.9852,-82.9848
15,15,San Francisco,California,883305,805235,+9.70,46.9,121.5,18569,7170,37°43′38″N 123°01′56″W,37.7272°N 123.0322°W,37.7272  -123.0322﻿ ,37.7272,-123.0322
16,16,Charlotte,North Carolina,872498,731424,+19.29,305.4,791.0,2757,1064,35°12′28″N 80°49′52″W,35.2078°N 80.8310°W,35.2078  -80.8310﻿ ,35.2078,-80.831
17,17,Indianapol,Indiana,867125,820445,+5.69,361.5,936.3,2366,914,39°46′36″N 86°08′45″W,39.7767°N 86.1459°W,39.7767  -86.1459﻿ ,39.7767,-86.1459
18,18,Seattle,Washington,744955,608660,+22.39,83.8,217.0,8405,3245,47°37′14″N 122°21′03″W,47.6205°N 122.3509°W,47.6205  -122.3509﻿ ,47.6205,-122.3509
19,19,Denver,Colorado,716492,600158,+19.38,153.3,397.0,4521,1746,39°45′43″N 104°52′52″W,39.7619°N 104.8811°W,39.7619  -104.8811﻿ ,39.7619,-104.8811
